address,maxClaimable,price
0xa036225142c4f464ac1c1e04ca663809b4cfc1bc,1,0
0x50d502b7301421fe89abeadfa492229d3e8d4812,1,0
0xe23460e856410d8082c67dbac16d4c0f13051352,1,0
0xdd4247922463b8db50a8ae53f3f6090e044fcbb9,1,0
0xfbd2b9cd703d402503a574e147f2cd15357f8684,1,0
0x46e9beef5dc68dff095eca56dadf90247f1af7ef,1,0
0x61ada5dfa67ad93c25e4725b032d6313345001a2,1,0
0xf00b9805e98b6a9198945e7f712c0e5a694ccb10,1,0
0x1ed07d2ed9011ff46eca31f4288768092008c65b,1,0
0x86e36c9ba3c6a2542fd761bc2b4fd61a110ea6cd,1,0
0xcd7a8c3c38a0db2113b2d6e1e7949b0b789cdf1e,1,0
0x5bc60ba7e437e6a44f76e03873c06b9bf6532691,1,0
0x1ded93d1d29b52c968829ed7e901b806ea3af232,1,0
0xbf3602799b2747910f70a1e99a3b4f6267decb4a,1,0
0x34dfc08eb3b7ed60d00e5b2cb611ac27c152b45c,1,0
0xfb4216af0b02409c6af90db843c692ecd33115f3,1,0
0xbab2c3182aac5d42c4fa9dcf93b0b71111bd82ba,1,0
0x23631b12402fe1b2404fccfab01557269b0df108,1,0
0xf8ae7e2541cfc75914c8372d4a16d6de2cda0c40,1,0
0x5ed2892aeeabd7743161fc297e47801d58de63c4,1,0
0x9c2e009886fec1b9bd98741eefd669817d6fee79,1,0
0x07efbb211cb33cef4f1a9aaac3364153dcebbd32,1,0
0x64bf35959d6a85c10910e4fc2294706002324f76,1,0
0x217408137af1ff89e11029694ab676914344c73c,1,0
0x26a1c5a8a33cb716ef45aaa20f1a474ba71ba123,1,0
0x7b655bf36b6f2c3a173803f63a47f207be7795ef,1,0
0x9a5cacaa06f8bc83179f85ee61ae2c0da81d7402,1,0
0x06500bdfc0f44e1c68fabbc32df72e14c8f8e144,1,0
0x5698a4202f51603d27cc5b41fcc943445146c900,1,0
0x6851dc5e4af118f7821bb798df56866cd1491f43,1,0
0x1426b3369925c344866794a7e20825de095e6cfa,1,0
0xf7b746290436fd276045a5dc2b53b7a5d4261d39,1,0
0x266676e44091391a01590ca16265e611d5efa31e,1,0
0xd3b385e54eebc502551479ba63aeca39f051418f,1,0
0x1573ed65ec303ae87a4ea2a4dd0bdf59228f338d,1,0
0x9faa3ec166c29b95426d5bbb79d3b45ad51cd1c2,1,0
0xc21513eee34f8864333bc73f9379c676b7e1d7f2,1,0
0x54d06a08ffdf44258a9f9bd2f4b4cdd6692a900f,1,0
0xbae45e042aeb115ade51205be721aacd3610c8ab,1,0
0xd3015cc7496ea1ec539b05347323b1afeeefdcf6,1,0
0x65299bd32d80be43404983747eb1c189918f74f4,1,0
0xf35ff7426e2dbe06305e71eaee7e038e6dbac620,1,0
0xceab0087c5fbc22fb19293bd0be5fa9b23789da9,1,0
0x572fef3d9a1712c7d449c7e15c335d6860328086,1,0
0x9353cc2583356ce6ea8f92e239d7c9eb8412acaf,1,0
0x72450e4e29d75d625d89fda9b51864d708d2f38b,1,0
0x5a4b655f79696e2eea0bb1d8ac2a6e0c69e8b82a,1,0
0xa7f49efdc904e8906817afbec3e2ae73e2a4e113,1,0
0xe0e5f3a8d9a23e004ff4ce5397abd70acf9b4cc5,1,0
0x56f6b5c392774b7b62d6f62522a74b6af759e421,1,0
0xb1b21884afe6581f3c4997b0320465f18e9682c0,1,0
0x6a48ade3be3f9f0b8b4c9af61bb654a219311699,1,0
0x7abae7a6d10c8a91a2c37b43fd5d019d920a8d05,1,0
0x335552d962525cbb81fb0d7c8011d15f09648899,1,0
0xf4901a3de0415c4d5608708def4c8e5b8e41f45d,1,0
0xe2350a05267a1164cdbfdc2e48f4a1ba6486532d,1,0
0x3268710d0c0338c60e89733f5da52c173fc0fc3f,1,0
